word_english,word_spanish
roughly,áspero
inhabitants,habitantes
isolated,aislado
due,debido
spite,rencor
straightforward,directo/sencillo
outbreaks,estallido/brote
budworm,gusano
recruitment,contratacion/reclutamiento
threshold,umbral/limite
flight,vuelo
journey (overland),viaje (por tierra)
trip,viaje (específico)
to travel,viaje (general)
holiday,vacaciones/feriado
printer,imprimir
weather/wheter (homoprones),clima/si
rain/rein/reign (homoprones),lluvia/rienda/reinado
poor/pore/pour (homoprones),pobre/poro/fluidez
effort,esfuerzo
tackles,aborda
despite,a pesar de
relief/relieved,alivio/aliviado
empoyer,empleador
employee,empleado
abroad,en el extranjero
for now/for the time being,por ahora
austerity,austeridad
surplus,excedente
tax,impuesto/fiscal
capital flight,fuga de capitales
fiscal deficit,deficit fiscal
pay taxes,pagar impuestos
scared,asustado
labour laws,leyes laborales
forecast,pronóstico
weather forecast,pronóstico del tiempo
ripoff,afano
a pint,una pinta
a scam,una estafa
currency,divisa/moneda
availability,disponibilidad
gorgeous,precioso
aware,consciente
is not allowed,no está permitido
double standard,doble standar
hypocrisy,hipocresía
hypocrite,hipócita
journey,viaje
right wing,ala derecha
Moria’s relative,pariente de Moria
meet,conocer
know,"saber, conocerlo bien"
earn money,ganar plata (sueldo)
win money,ganar plata (loteria)
make profit,ganar plata (empresa)
the rush hour,la hora pico
skilful,habilidoso
scapegoat,chivo expiatorio
how to talk,cómo hablar
cynical,cínico
debt,deuda
to owe,deber
debtor,deudor
to pull strings,mover los hilos
the aim of the game,el objetivo del juego
goal,gol
11 players,11 jugadores
substitutes,suplentes
goalkeeper,arquero
defenders,defensores
midfielders,mediocampistas
forwards,delanteros
ball,pelota
to kick,patear
a kick,patada
to serve,sacar
a draw,sorteo
a draw,empate
foul,falta
first/second half of the game,primer/segundo tiempo
nil,nada
against,contra
beat,vencer
win,ganar
earn,ganar
gain,ganar
to behave - behaviour,comportamiento
the other way round / the opposite,al revés
It's worth it,vale la pena
unfortunately,desafortunadamente
pleasant,agradable
powder,polvo
demolished,demolido
brute,bruto
warm,cálido
hot,caliente
pass,pasar
fail,fallar
approve of,aprovar
severe,severo
quotas / limits,limites
vacancies,vacantes
library,libreria
suspect,sospechar
It´s raining cats and dogs,Está lloviendo
It´s bucketing down,Está lloviendo
It´s pouring,Está lloviendo
stubborn,Terco/a
spell,deletrear
argue,discusión
knee,rodilla
in a cast,con yeso
stitches,puntos
surgery,cirugía
stairs,escaleras
crutches,muletas
pain,dolor
pain-killers,analgésicos
dye,teñir
shamrock,trebol de tres hojas
priest,sacerdote
bishop,obispo
lucky charm,amuleto
lucky item,amuleto
by the time beeing,por ahora
once a week,una vez por semana
twice a week,dos veces por semana
@,at
women,plural
woman,singular
chicks,minitas
instead of,en vez de
nil,cero (futbol)
love,cero (tenis)
cero,cero
directions,indicaciones
