word_english,word_spanish
routine,rutina
weekly,semanalmente
at least,al menos
daily,diariamente
revise,revisar
say it aloud,decir en voz alta
silently,silenciosalmente
highlighter pen,resaltador
rub,borrar
rubber,goma
brush,cepillar/cepillo
tooth,diente
teeth,dientes
synonyms,sinonimos
opposites,antónimos
clean,limpio
dirty,sucio
filthy,muy sucio
permanent,permanente
temporal,temporal
kind,amable
unkind,no amable
mean,malo
smooth,suave
rough,aspero
entrance,entrada
exit,salida
dead,muerto
alive,vivo
accept,aceptar
reject,rechazar
refuse,rechazar
advice,consejo
advise,aconsejar
argue,discutir
argument,discusion
revise,revisar
revision,revision
chocice,decisión
choose,elegir
expand,expandir
expansion,expansion
different,diferente
difference,diferencia
differ,diferir
communicate,comunicar
communication,comunicacion
communicative,comunicativo
note down,anotar
write down,anotar
translation,traducción
mess,lío
draw,dibujar
note,nota
forget,olvidar
topic,tema
into,en
explanation,explicación
tip,consejo
tip,propina
mix,lío
necessary,necesario
awful,horrible
enjoy,disfrutar
enjoyment,disfrute
enjoyable,disfrutable
diet,dieta
lay the table,poner la mesa
flour,harina
frozen,congelado
raw,crudo
butcher,carnicero
branch,rama
ground,piso
butterfly,mariposa
leaf,hoja
dig ,cavar
count,contar
add up,sumar
minus,menos
thousant,mil
zero,cero
